Var1,Var2
2017-10-16,"16:51:59.861,1.6794362,1.2942176,0.033638693,0.0,0.54523987,0.6536184,-0.27140749,0.0,1.2216399,0.5512543,0.11158569,0.0,0.30734748,0.7528517,-0.45811015,0.0,0.21002883,0.109388,-0.6964774,0.0,978.315,922.3077,838.9011,1132.2344,1102.4176,-0.1318359375,0.10528564453125,0.97943115234375,0.11962890625,2.310333251953125,2.250518798828125,1,1.0,1.0,1.0,1.0,83.44"
2017-10-16,"16:52:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink"
2017-10-16,"16:52:00.371,1.6708835,1.4511269,0.03823116,0.0,0.5419756,0.6337665,-0.24347223,0.0,1.1310009,0.67859954,0.10068243,0.0,0.22564694,0.73999083,-0.53730184,0.0,0.14940108,0.12566546,-0.63198864,0.0,705.5311,797.3993,847.3626,509.70697,567.72894,-0.12353515625,0.101318359375,0.97998046875,-0.127105712890625,0.64300537109375,3.15521240234375,1,1.0,1.0,1.0,1.0,83.44"
2017-10-16,"16:52:00.906,1.2581775,1.6400366,-0.113213,0.0,0.348245,0.6513989,-0.32979062,0.0,1.1283462,0.7334361,-0.28734535,0.0,0.2653686,0.75225246,-0.57022995,0.0,0.08218382,0.14836587,-0.609101,0.0,757.9121,829.6337,840.10986,600.7692,504.06595,-0.1175537109375,0.10235595703125,0.9739990234375,0.52337646484375,5.061798095703125,1.846771240234375,1,1.0,1.0,1.0,1.0,83.44"
2017-10-16,"16:52:01.428,-0.10217443,1.6786646,-0.053805362,0.0,0.22675873,0.733948,-0.4509398,0.0,1.2077976,0.65337336,-0.08657106,0.0,0.34641513,0.7173859,-0.4517741,0.0,0.16768132,0.14168318,-0.6477104,0.0,743.00366,807.8755,835.2747,582.6374,676.9231,-0.12860107421875,0.104736328125,0.97845458984375,0.142059326171875,3.775787353515625,2.639312744140625,1,1.0,1.0,1.0,1.0,83.44"
2017-10-16,"16:52:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink"
2017-10-16,"16:52:01.932,-0.11616404,1.6527592,0.16605785,0.0,0.39162907,0.8161586,-0.24085976,0.0,1.2676911,0.6739412,0.07742966,0.0,0.37653872,0.677308,-0.38236552,0.0,0.12583631,0.09292969,-0.75546116,0.0,912.6374,871.9414,845.34796,952.9304,1035.9341,-0.1300048828125,0.09527587890625,0.9771728515625,-0.07476806640625,2.444915771484375,2.056121826171875,1,1.0,1.0,1.0,1.0,83.44"
2017-10-16,"16:52:02.442,0.08474989,1.3536115,0.45589513,0.0,0.5195003,0.87108874,-0.08785559,0.0,1.2835836,0.6482719,0.076721236,0.0,0.3818752,0.61834425,-0.40245342,0.0,0.051485125,0.014005907,-0.81113476,0.0,984.7619,896.52014,843.3333,1130.2197,1063.3334,-0.13226318359375,0.09539794921875,0.97711181640625,0.299072265625,2.893524169921875,2.190704345703125,1,1.0,1.0,1.0,1.0,83.44"
2017-10-16,"16:52:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink"
2017-10-16,"16:52:02.955,0.2626514,1.1845864,0.42235845,0.0,0.45395082,0.70891327,-0.055199694,0.0,1.304564,0.60820764,0.04592784,0.0,0.24395114,0.59650815,-0.49984053,0.0,-0.044298325,0.009623763,-0.85793686,0.0,846.55676,872.3443,842.52747,801.4286,690.2198,-0.12841796875,0.0987548828125,0.98236083984375,1.637420654296875,3.289794921875,1.562652587890625,1,1.0,1.0,1.0,1.0,83.44"
2017-10-16,"16:52:03.468,0.3266297,0.95773154,0.241219,0.0,0.35378945,0.67717314,-0.24865551,0.0,1.2274641,0.5863772,-0.1341779,0.0,0.316892,0.6027024,-0.4994397,0.0,0.012760982,0.02452602,-0.84708554,0.0,729.304,834.4689,848.1685,534.2857,551.6117,-0.13720703125,0.10308837890625,0.9786376953125,0.37384033203125,2.788848876953125,2.3028564453125,1,1.0,1.0,1.0,1.0,83.44"
2017-10-16,"16:52:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink"
2017-10-16,"16:52:03.980,0.32681626,1.2120725,-0.09397166,0.0,0.18837658,0.7970509,-0.30642316,0.0,1.1742089,0.6942057,-0.108977474,0.0,0.34083384,0.5627334,-0.47705477,0.0,0.029725576,0.039913233,-0.8242154,0.0,826.4103,848.1685,852.1978,753.8828,867.9121,-0.13232421875,0.10076904296875,0.97607421875,0.171966552734375,3.043060302734375,2.280426025390625,1,1.0,1.0,1.0,1.0,83.42"
2017-10-16,"16:52:04.497,0.43793383,1.608754,0.20692258,0.0,0.09338569,0.9871909,-0.16591659,0.0,0.95539117,0.8277367,-0.06526953,0.0,0.41434863,0.63990706,-0.3751833,0.0,0.048624832,0.034584496,-0.7611406,0.0,975.09155,929.9634,842.1245,1095.5677,1135.0549,-0.13916015625,0.0977783203125,0.98260498046875,0.5084228515625,2.51220703125,2.669219970703125,1,1.0,1.0,1.0,1.0,83.42"
2017-10-16,"16:52:05.014,0.5125484,1.6755642,0.21195354,0.0,0.16140606,0.9786483,-0.12047275,0.0,0.9485592,0.86244744,-0.08028759,0.0,0.38709232,0.63432026,-0.33210522,0.0,0.035369817,0.08213618,-0.7044179,0.0,924.3223,869.12085,837.6923,1002.49084,868.315,-0.13720703125,0.0977783203125,0.9759521484375,-0.082244873046875,2.923431396484375,2.235565185546875,1,1.0,1.0,1.0,1.0,83.42"
2017-10-16,"16:52:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink"
2017-10-16,"16:52:05.527,0.46142688,1.7549803,0.20229387,0.0,0.3237266,0.8486093,-0.25640744,0.0,1.1113971,0.8409526,-0.084226966,0.0,0.33285257,0.75458974,-0.2779494,0.0,-0.02617494,0.15110222,-0.6681727,0.0,753.0769,888.86444,846.55676,624.5421,545.16486,-0.1380615234375,0.09063720703125,0.9776611328125,-0.635528564453125,2.100982666015625,1.981353759765625,1,1.0,1.0,1.0,1.0,83.42"
2017-10-16,"16:52:06.038,0.2355494,1.7544198,-0.12829018,0.0,0.3922418,0.64036345,-0.551305,0.0,1.1140693,0.9227551,-0.20587593,0.0,0.26250467,0.78315806,-0.2840327,0.0,-0.12643296,0.17370331,-0.689406,0.0,978.315,899.7436,830.0366,1104.4323,1108.0586,-0.135009765625,0.0841064453125,0.978759765625,0.171966552734375,2.459869384765625,1.92901611328125,1,1.0,1.0,1.0,1.0,83.42"
2017-10-16,"16:52:06.541,0.28205466,1.8414891,0.07111982,0.0,0.5385552,0.724089,-0.62993294,0.0,1.1391183,0.99503696,-0.21316335,0.0,0.21790698,0.82627624,-0.29790577,0.0,-0.11105738,0.17997153,-0.7079046,0.0,908.60803,855.42126,833.2601,950.10986,860.65936,-0.13446044921875,0.08258056640625,0.9766845703125,0.3887939453125,2.444915771484375,2.37762451171875,1,1.0,1.0,1.0,1.0,83.42"
2017-10-16,"16:52:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink"
2017-10-16,"16:52:07.053,0.3779578,1.7535479,0.09141023,0.0,0.48142412,0.7185057,-0.42952684,0.0,1.0774913,0.9661295,-0.13242401,0.0,0.21714066,0.8195349,-0.38566753,0.0,-0.019512294,0.15787205,-0.67766196,0.0,785.7143,827.619,844.5421,625.34796,526.63007,-0.14306640625,0.08319091796875,0.9774169921875,0.1495361328125,3.39447021484375,2.325286865234375,1,1.0,1.0,1.0,1.0,83.42"
2017-10-16,"16:52:07.565,0.7120746,1.7010095,0.17326479,0.0,0.54488075,0.7675918,-0.35664794,0.0,1.0577853,0.8610562,-0.11571532,0.0,0.3012484,0.83370376,-0.46067843,0.0,0.12340313,0.16986223,-0.6439761,0.0,776.8498,923.91943,830.84247,628.5714,717.619,-0.1368408203125,0.08935546875,0.978515625,0.6878662109375,3.12530517578125,3.3197021484375,1,1.0,1.0,1.0,1.0,83.42"
2017-10-16,"16:52:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink"
2017-10-16,"16:52:08.072,0.7705726,1.6192417,0.66809154,0.0,0.46422988,0.8218499,-0.16676393,0.0,0.8699493,0.82350117,-0.11533162,0.0,0.34648728,0.84606117,-0.45954153,0.0,0.1757513,0.1678885,-0.6466252,0.0,930.3663,942.8571,853.00366,1000.87915,1089.5238,-0.132568359375,0.0904541015625,0.97735595703125,0.560760498046875,1.996307373046875,2.40753173828125,1,1.0,1.0,1.0,1.0,83.42"
2017-10-16,"16:52:08.593,0.946391,1.7478663,0.995381,0.0,0.57404894,0.9305093,-0.029580742,0.0,0.82353455,0.8069354,-0.23304306,0.0,0.45092577,0.8373448,-0.34341216,0.0,0.2396323,0.1833232,-0.6812089,0.0,968.24176,875.9707,839.304,1089.1208,996.04395,-0.13409423828125,0.09417724609375,0.97796630859375,0.40374755859375,2.938385009765625,2.27294921875,1,1.0,1.0,1.0,1.0,83.42"
2017-10-16,"16:52:09.095,1.5847436,1.714081,0.99810344,0.0,1.1610966,1.0525916,0.01193792,0.0,1.2612836,0.8058334,-0.12567766,0.0,0.28824505,0.7804363,-0.2552546,0.0,0.29873198,0.13459171,-0.53043234,0.0,807.47253,839.707,837.6923,715.2015,586.26373,-0.12896728515625,0.0948486328125,0.9803466796875,0.590667724609375,2.250518798828125,1.936492919921875,1,1.0,1.0,1.0,1.0,83.42"
2017-10-16,"16:52:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink"
2017-10-16,"16:52:09.598,1.6605382,1.714081,0.8879382,0.0,0.9283695,1.0525916,-0.08925081,0.0,1.2641084,0.8058334,-0.09403878,0.0,0.38746426,0.7804363,-0.18029127,0.0,0.2053752,0.13459171,-0.29304522,0.0,731.31866,832.8571,850.58606,556.04395,610.4396,-0.13165283203125,0.094970703125,0.9754638671875,0.01495361328125,2.79632568359375,2.46734619140625,1,1.0,1.0,1.0,1.0,83.42"
2017-10-16,"16:52:10.100,1.5021309,1.8225739,0.4532228,0.0,0.7750124,1.2564456,-0.30979225,0.0,1.2641084,0.80547553,-0.06474344,0.0,0.35422638,0.69590944,-0.24954766,0.0,0.13854094,0.08481572,-0.3133783,0.0,949.304,915.8608,846.55676,1048.8279,957.76556,-0.13262939453125,0.09405517578125,0.9796142578125,0.740203857421875,3.15521240234375,3.641204833984375,1,1.0,1.0,1.0,1.0,83.42"
2017-10-16,"16:52:10.604,1.2868001,1.7400875,0.42892912,0.0,0.17836834,1.0427477,-0.39491937,0.0,1.1139133,0.81027824,-0.13241476,0.0,0.33496305,0.65125144,-0.27154902,0.0,-0.021854164,0.11007943,-0.43030727,0.0,795.78754,859.85345,848.1685,695.05493,578.20514,-0.1329345703125,0.0960693359375,0.98492431640625,1.3458251953125,2.863616943359375,3.491668701171875,1,1.0,1.0,1.0,1.0,83.42"
2017-10-16,"16:52:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink"
2017-10-16,"16:52:11.106,0.7506357,1.6911266,0.17317787,0.0,0.16479655,0.8234998,-0.43105224,0.0,0.7732383,0.8108612,-0.19743013,0.0,0.35764098,0.61174554,-0.34070396,0.0,-0.07622725,0.068701714,-0.6783022,0.0,734.5421,836.08057,858.6447,585.4579,611.6484,-0.1292724609375,0.09979248046875,0.9774169921875,0.58319091796875,2.714080810546875,2.310333251953125,1,1.0,1.0,1.0,1.0,83.42"
2017-10-16,"16:52:11.609,0.82886523,1.5225701,-0.042224173,0.0,0.4221119,0.87167376,-0.40740216,0.0,0.90513027,1.0109469,-0.41214693,0.0,0.35922232,0.6122443,-0.33483893,0.0,-0.10204061,0.13436112,-0.6394163,0.0,951.7216,897.326,848.5714,1036.337,927.1429,-0.12139892578125,0.1026611328125,0.9775390625,0.396270751953125,2.37762451171875,2.205657958984375,1,1.0,1.0,1.0,1.0,83.42"
2017-10-16,"16:52:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink"
2017-10-16,"16:52:12.115,0.9473938,1.5351868,-0.004872246,0.0,0.5008772,1.0030073,-0.234086,0.0,1.1702178,1.0398257,-0.30750972,0.0,0.3538178,0.5956567,-0.41584292,0.0,-0.049648333,0.1445937,-0.6322135,0.0,770.80585,837.6923,851.39197,666.8498,562.8938,-0.1256103515625,0.10650634765625,0.98284912109375,0.635528564453125,2.01873779296875,2.983245849609375,1,1.0,1.0,1.0,1.0,83.42"
2017-10-16,"16:52:12.642,1.0143892,1.5887256,0.030438742,0.0,0.62277615,1.410624,-0.24712852,0.0,1.2207966,1.1493661,-0.16409247,0.0,0.23970188,0.56179523,-0.39905918,0.0,-0.01944771,0.23097797,-0.73907655,0.0,738.5714,833.663,850.18317,600.3663,631.39197,-0.12255859375,0.11053466796875,0.978515625,0.500946044921875,2.97576904296875,2.684173583984375,1,1.0,1.0,1.0,1.0,83.42"
2017-10-16,"16:52:13.151,1.2440401,1.7646496,0.059658524,0.0,0.47803548,1.3481805,-0.18752328,0.0,1.3018123,1.0002269,-0.008556417,0.0,0.21221447,0.535211,-0.34875712,0.0,0.09476217,0.17402999,-0.83841455,0.0,881.2088,878.3883,845.34796,888.46155,1002.49084,-0.11566162109375,0.1192626953125,0.97064208984375,-0.276641845703125,2.923431396484375,1.30096435546875,1,1.0,1.0,1.0,1.0,83.42"
2017-10-16,"16:52:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink"
2017-10-16,"16:52:13.661,1.1669947,1.867032,0.14021863,0.0,0.44656557,1.3492124,-0.18953373,0.0,1.339976,0.97044206,0.010531041,0.0,0.23820911,0.52289665,-0.32364628,0.0,0.065972805,0.123964965,-0.7952267,0.0,973.8828,920.696,847.3626,1101.6117,1141.9048,-0.12640380859375,0.1094970703125,0.97796630859375,0.1495361328125,2.938385009765625,2.459869384765625,1,1.0,1.0,1.0,1.0,83.42"
2017-10-16,"16:52:14.178,0.9240138,1.8249844,0.08072443,0.0,0.33509448,0.92645466,-0.15653981,0.0,1.3164775,0.5554831,-0.024151424,0.0,0.22899432,0.5251026,-0.38406053,0.0,0.09230776,0.021180224,-0.7612116,0.0,900.54944,887.6557,838.49817,907.3993,797.8022,-0.120361328125,0.1087646484375,0.974365234375,0.142059326171875,2.093505859375,2.1832275390625,1,1.0,1.0,1.0,1.0,83.41"
2017-10-16,"16:52:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink"
2017-10-16,"16:52:14.683,0.327647,1.7079339,0.18420683,0.0,0.38922063,0.99510807,-0.111048944,0.0,1.1687727,0.53483135,0.071077675,0.0,0.30024862,0.4962592,-0.4263214,0.0,0.107855245,-0.02951909,-0.68451744,0.0,740.18317,821.5751,850.18317,596.7399,543.1502,-0.11846923828125,0.10955810546875,0.98004150390625,0.2093505859375,2.7215576171875,2.280426025390625,1,1.0,1.0,1.0,1.0,83.41"
2017-10-16,"16:52:15.189,0.456364,1.5704,0.24036063,0.0,0.43293452,1.0829713,-0.19430439,0.0,1.2823399,0.6900306,0.07506892,0.0,0.39848396,0.543265,-0.43652183,0.0,0.12782377,-0.047025226,-0.64284915,0.0,773.22345,827.2161,856.2271,666.4469,759.12085,-0.119384765625,0.10845947265625,0.9735107421875,-0.814971923828125,2.459869384765625,2.115936279296875,1,1.0,1.0,1.0,1.0,83.41"
2017-10-16,"16:52:15.690,0.6366505,1.4704816,0.28953263,0.0,0.41299266,1.1354204,-0.24790461,0.0,1.2580492,0.6900306,0.0783616,0.0,0.47495514,0.61172664,-0.45073238,0.0,0.07939364,-0.025996478,-0.6612518,0.0,893.2967,920.293,843.73627,931.978,838.49817,-0.12548828125,0.106689453125,0.9776611328125,-0.142059326171875,2.392578125,2.699127197265625,1,1.0,1.0,1.0,1.0,83.41"
2017-10-16,"16:52:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink"
2017-10-16,"16:52:16.195,0.7104563,1.4380027,0.20418629,0.0,0.38411674,1.0576025,-0.28720286,0.0,1.2492812,0.6513166,0.036311947,0.0,0.45804203,0.63180894,-0.36274678,0.0,-0.0235678,0.0044410555,-0.63499874,0.0,960.18317,931.1722,843.73627,1081.4652,1074.6154,-0.1138916015625,0.10638427734375,0.97607421875,0.680389404296875,2.100982666015625,2.714080810546875,1,1.0,1.0,1.0,1.0,83.41"
2017-10-16,"16:52:16.701,0.8004749,1.2281296,0.033958405,0.0,0.44321752,0.91252106,-0.2813469,0.0,1.2347157,0.67891,0.006485843,0.0,0.3895671,0.60952026,-0.36527047,0.0,0.017418765,-0.012216892,-0.6363321,0.0,745.0183,815.9341,857.03296,626.9597,687.3993,-0.11077880859375,0.11016845703125,0.97418212890625,-0.11962890625,2.474822998046875,2.041168212890625,1,1.0,1.0,1.0,1.0,83.41"
2017-10-16,"16:52:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink"
2017-10-16,"16:52:17.212,0.80979955,1.6347364,-0.0049212845,0.0,0.56725234,1.0429729,-0.08353337,0.0,1.0366989,0.67638105,0.2490476,0.0,0.3296262,0.6254573,-0.37296322,0.0,0.026465384,2.0020935E-4,-0.552713,0.0,879.19415,917.47253,849.7802,912.23444,1067.3627,-0.1168212890625,0.1072998046875,0.9798583984375,0.590667724609375,3.282318115234375,2.6019287109375,1,1.0,1.0,1.0,1.0,83.41"
2017-10-16,"16:52:17.720,0.6900899,1.7618362,-0.032735012,0.0,0.58235973,1.1529081,-0.13743056,0.0,1.0907117,0.6691459,0.24519597,0.0,0.325064,0.6468457,-0.46923885,0.0,0.10146443,0.0010455818,-0.5467701,0.0,971.06226,918.68134,846.55676,1080.2565,1116.1172,-0.12005615234375,0.104248046875,0.97607421875,0.3289794921875,2.190704345703125,2.76641845703125,1,1.0,1.0,1.0,1.0,83.41"
2017-10-16,"16:52:18.222,0.45315292,2.0097969,0.02895833,0.0,0.4582997,1.2891608,-0.10924425,0.0,1.1204804,0.58138674,0.20389505,0.0,0.37347788,0.750387,-0.46951383,0.0,0.062406827,0.10716278,-0.56152755,0.0,863.8828,817.9487,843.73627,873.1502,751.8681,-0.11407470703125,0.10614013671875,0.97882080078125,0.25421142578125,2.908477783203125,1.996307373046875,1,1.0,1.0,1.0,1.0,83.41"
2017-10-16,"16:52:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink"
2017-10-16,"16:52:18.740,0.50663084,2.0097969,0.14178996,0.0,0.27766258,1.2891608,-0.1852811,0.0,1.1201748,0.58138674,0.03019212,0.0,0.4883941,0.750387,-0.48141277,0.0,0.017105242,0.10716278,-0.6410691,0.0,876.77655,856.63007,847.3626,886.04395,985.9707,-0.1177978515625,0.1053466796875,0.981201171875,0.022430419921875,3.237457275390625,1.772003173828125,1,1.0,1.0,1.0,1.0,83.41"
2017-10-16,"16:52:19.245,0.47527865,2.0097969,0.13862337,0.0,0.25417405,1.2891608,-0.15354134,0.0,1.1958433,0.58138674,-0.20195037,0.0,0.5473638,0.750387,-0.46001157,0.0,0.012492237,0.10716278,-0.7624217,0.0,778.0586,883.22345,854.61536,677.72894,747.4359,-0.11328125,0.10394287109375,0.97955322265625,0.142059326171875,2.579498291015625,1.757049560546875,1,1.0,1.0,1.0,1.0,83.41"
2017-10-16,"16:52:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink"
2017-10-16,"16:52:19.753,0.48772925,2.0097969,0.064530976,0.0,0.43882248,1.2891608,-0.1761388,0.0,1.217632,0.58138674,-0.031071343,0.0,0.5330023,0.750387,-0.39467657,0.0,0.046998754,0.10716278,-0.80065864,0.0,840.10986,878.3883,839.707,898.5348,1103.6263,-0.11541748046875,0.099365234375,0.97705078125,0.13458251953125,2.52716064453125,2.1533203125,1,1.0,1.0,1.0,1.0,83.41"
2017-10-16,"16:52:20.257,0.22364713,2.0097969,-0.10898741,0.0,0.5157178,1.2891608,-0.26719844,0.0,1.2680193,0.58138674,0.07154112,0.0,0.455783,0.750387,-0.356799,0.0,0.10337965,0.10716278,-0.82096606,0.0,767.1795,896.9231,848.97437,635.0183,534.2857,-0.11370849609375,0.103515625,0.97869873046875,0.396270751953125,2.930908203125,3.102874755859375,1,1.0,1.0,1.0,1.0,83.41"
2017-10-16,"16:52:20.768,0.29535115,2.0097969,0.030094452,0.0,0.60006994,1.2891608,-0.25770068,0.0,1.1278621,0.58138674,0.08507083,0.0,0.37534985,0.750387,-0.36679563,0.0,0.08340521,0.10716278,-0.7349965,0.0,768.3883,823.9927,851.39197,661.2088,726.4835,-0.115478515625,0.10516357421875,0.9803466796875,0.710296630859375,2.99072265625,3.4393310546875,1,1.0,1.0,1.0,1.0,83.41"
2017-10-16,"16:52:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink"
2017-10-16,"16:52:21.271,0.42498592,2.0097969,0.07985776,0.0,0.46308768,1.2891608,-0.35231614,0.0,1.221105,0.58138674,0.020164581,0.0,0.38709196,0.750387,-0.3886486,0.0,0.03305712,0.10716278,-0.69864166,0.0,911.8315,871.13556,854.61536,960.58606,1090.3297,-0.11614990234375,0.10601806640625,0.9857177734375,1.203765869140625,1.7047119140625,3.46923828125,1,1.0,1.0,1.0,1.0,83.41"
2017-10-16,"16:52:21.780,0.2659803,2.0097969,0.07477517,0.0,0.26222974,1.2891608,-0.29810622,0.0,1.1815035,0.58138674,-0.033254344,0.0,0.32608843,0.750387,-0.39464673,0.0,-0.060874086,0.10716278,-0.65055907,0.0,964.61536,911.8315,836.08057,1071.7949,1087.1062,-0.11083984375,0.10845947265625,0.9794921875,0.321502685546875,2.7813720703125,2.579498291015625,1,1.0,1.0,1.0,1.0,83.41"
