Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26
41:01.5,-0.12918225,-0.2586939,-0.11825659,-0.31644914,-0.035762288,-0.18675227,-0.37629113,-0.11708013,0.89411634,-0.16910094,-0.08335507,1.3300703,0.49621707,0.06961728,-0.4236368,0.43260622,0.06585049,-0.6934927,-0.7759861,-0.5201112,851.39197,851.79486,852.6007,829.6337,803.8461
41:02.0,-0.20351861,-0.28087765,-0.44060457,-0.11219856,-0.05427324,-0.22805959,-0.35681385,0.055758324,0.89727163,-0.14665055,-0.22137615,1.2416512,0.5102319,0.040005263,-0.47931093,0.4258279,0.028642219,-0.6129172,-0.7223448,-0.53762174,842.9304,856.63007,849.7802,842.9304,1021.4286
41:02.5,-0.14457642,-0.24584578,-0.7474085,-0.07652137,0.14321871,-0.26319292,-0.50320953,0.07056967,0.7886095,-0.15872373,-0.17756227,1.2138902,0.4950825,-0.07831528,-0.5540735,0.32922667,0.14007653,-0.52379006,-0.7885325,-0.5570092,843.3333,863.47986,849.7802,868.315,1078.2417
41:03.0,-0.10373114,-0.25923255,-0.53441066,-0.06468437,0.26355544,-0.21364151,-0.5011389,0.16482687,0.8649661,-0.16037025,-0.14999856,1.1666758,0.4955404,-0.14903288,-0.52644783,0.29411486,0.12570794,-0.4485392,-0.821895,-0.5105411,858.24176,858.24176,847.76556,876.3736,933.1868
41:03.5,0.11914966,-0.15152727,-0.3942786,-0.24666862,0.41649258,-0.13601148,-0.49550328,0.21567783,0.8835975,0.047212217,-0.20012993,1.1644707,0.46110648,-0.18812305,-0.43440923,0.26052192,0.15712607,-0.41916865,-0.88128465,-0.5026129,856.2271,860.2564,851.39197,835.6777,731.31866
41:04.1,0.0688649,-0.08413297,-0.28698954,-0.3037473,0.34899893,-0.14349891,-0.51484954,0.20542824,0.92412037,0.118759625,-0.20966916,1.1435035,0.34116885,-0.2852162,-0.4508013,0.29177973,0.07215034,-0.38940972,-0.8438322,-0.46120661,832.4542,842.52747,849.3773,798.60803,599.9634
41:04.6,0.07893486,-0.06706844,-0.29938063,-0.1416251,0.21036452,-0.011650591,-0.53192943,0.1411425,0.93012875,0.18145496,-0.3212091,1.0388931,0.24035197,-0.26625592,-0.547172,0.27008072,0.05441898,-0.3874347,-0.8887678,-0.5257014,847.76556,854.21246,847.76556,814.7253,732.52747
41:05.1,-0.07785092,-0.13525058,-0.41701075,-0.052864753,0.022846483,-0.020219445,-0.6283851,-0.013521097,1.0486835,0.20251457,0.037688885,1.2093804,0.29478022,-0.24202238,-0.52277714,0.38868198,-0.009746787,-0.27648938,-0.864618,-0.53686416,842.1245,846.9597,853.8095,849.3773,971.4652
41:05.6,0.015195572,-0.2288984,-0.6284529,-0.004253227,0.1713885,-0.07673472,-0.6446449,0.20683251,1.238027,0.22034815,0.037786026,1.3901428,0.4282422,-0.13054937,-0.29312313,0.45866787,-0.0528009,-0.2141148,-0.8447687,-0.6105342,856.2271,859.0476,852.6007,872.74725,1099.1941
41:06.1,0.15833628,-0.3555915,-0.6571741,0.05010275,0.29477242,-0.1597984,-0.61755675,0.5533295,1.2469304,0.13955595,0.02886204,1.4372814,0.4516683,-0.06984432,-0.22193205,0.45636126,-0.09469367,-0.18588637,-0.89088017,-0.61643445,836.8865,858.24176,852.6007,869.92676,1022.23444
41:06.6,0.17009744,-0.412554,-0.3786589,0.037220128,0.35919303,-0.24053158,-0.3971858,0.6995653,1.408492,0.1051406,0.06691079,1.4816366,0.5391225,0.003382677,-0.25609982,0.42810723,-0.16533235,-0.24563086,-0.8529583,-0.59656674,866.30035,858.24176,849.7802,863.0769,778.86444
41:07.1,0.04351128,-0.47763997,-0.16580698,0.08348718,0.331804,-0.37623397,-0.32546347,0.69748974,1.5528129,0.011686817,0.08481414,1.4432805,0.585408,-0.014025864,-0.35815606,0.29160294,-0.2147787,-0.37024042,-0.8191181,-0.5957743,863.0769,849.7802,855.42126,826.8132,628.97437
41:07.6,0.078765415,-0.35579422,-0.113231175,0.23693441,0.48681578,-0.49698448,-0.32828462,0.5081933,1.5733911,0.027210085,0.084912226,1.4577465,0.62875783,-0.066431284,-0.3328893,0.28519356,-0.2043741,-0.42116642,-0.716098,-0.5446455,858.24176,852.1978,850.18317,818.7546,647.9121
41:08.1,0.11957486,-0.4487882,-0.18804699,0.33718953,0.48711944,-0.56181645,-0.42943037,0.2529046,1.5897201,0.08725418,0.03201144,1.4600921,0.58522856,-0.08839457,-0.28632954,0.19595475,-0.0762961,-0.34853947,-0.6994226,-0.5770532,858.6447,862.674,853.4066,881.2088,1054.0659
41:08.7,0.34352574,-0.33399624,-0.2416476,0.5160946,0.5404997,-0.4761874,-0.4319046,0.109057486,1.5617554,0.07304843,-0.030442404,1.309207,0.49108735,-0.08058955,-0.32532457,0.12667806,0.000801,-0.30870768,-0.7035853,-0.51516277,860.65936,850.18317,856.63007,867.1062,836.08057
41:09.2,0.5073829,-0.41269335,-0.2843487,0.5264441,0.40124205,-0.5995264,-0.42019334,-0.022710526,1.264182,0.07886219,-0.034893647,1.1723832,0.42508703,-0.10561205,-0.36774993,0.1859312,0.0845669,-0.33321166,-0.771304,-0.5011038,851.79486,853.4066,848.5714,825.6044,669.67035
41:09.7,0.5063009,-0.33604282,-0.24450207,0.46435577,0.3565587,-0.5684255,-0.53684634,0.14085871,1.2234652,0.03980356,-0.13259265,1.1804417,0.39907897,-0.20738967,-0.29473725,0.1859559,0.047705963,-0.3760058,-0.77536255,-0.44618067,848.1685,860.65936,850.989,801.8315,648.71796
41:10.2,0.52195567,0.04667962,-0.39192408,0.3346583,0.23144256,-0.68354326,-0.64070916,0.18762888,1.0967175,-0.07911745,-0.21029612,1.1084591,0.48730507,-0.23387451,-0.28795335,0.22626989,0.030492855,-0.40146607,-0.7878444,-0.40533894,834.0659,851.79486,847.76556,813.91943,811.50183
41:10.7,0.29228514,0.16007012,-0.3445542,0.24926732,0.15675877,-0.42180896,-0.6251778,0.24333197,1.0477778,-0.08790085,-0.0926022,1.1708345,0.49729595,-0.106648184,-0.27434048,0.22590937,-0.030951675,-0.39890987,-0.7911483,-0.42667583,851.39197,857.8388,853.00366,872.3443,1029.4872
41:11.2,0.23882209,0.21072237,-0.2066501,0.3719454,0.23369212,-0.16239765,-0.45747495,0.34981796,0.85014755,-0.004783154,-0.068012506,1.1875868,0.49776813,-0.06543695,-0.36246482,0.37455338,-0.011664543,-0.3932637,-0.8102908,-0.46313643,853.00366,863.0769,849.3773,881.6117,1108.4615
41:11.7,-0.032440167,-0.03975234,-0.12012852,0.3212509,0.21844344,-0.100118935,-0.29268938,0.3352791,1.3092808,-0.031698883,-0.006149636,1.2907426,0.4039584,-0.09447584,-0.32502463,0.3753321,-0.045236483,-0.34193116,-0.8380146,-0.56943506,849.7802,857.8388,852.6007,870.7326,937.619
41:12.3,0.11175389,-0.23146099,-0.14163126,0.26625696,0.26458314,-0.1628783,-0.19226986,0.34147274,1.3574498,0.12639216,0.17698433,1.4342402,0.4243311,-0.07644398,-0.30328903,0.45588404,-0.065061375,-0.3750082,-0.8138024,-0.57723975,857.03296,854.21246,846.1539,850.58606,711.5751
41:12.8,0.18208814,-0.5196973,-0.27695343,0.1455391,0.18046735,-0.39302748,-0.2502359,0.3300146,1.3410486,0.11281974,0.17698433,1.4253379,0.3894553,-0.049172893,-0.31812364,0.37599584,-0.075073294,-0.42712545,-0.71701574,-0.48445958,847.3626,852.6007,845.7509,801.4286,604.7985
41:13.3,0.14396189,-0.65103096,-0.2966507,0.104215376,0.34154817,-0.46210662,-0.2594696,0.39269635,1.3659296,0.16017528,0.18998809,1.4677075,0.3954217,0.08285416,-0.3415331,0.43619198,-0.050078634,-0.47306517,-0.65846777,-0.4802098,856.63007,846.1539,857.4359,814.7253,711.5751
41:13.8,-0.011772207,-0.66774905,-0.31357306,0.053662993,0.31292632,-0.50848967,-0.38770196,0.38176697,1.265539,0.2728535,0.19256383,1.4142133,0.5066887,0.16507888,-0.20169853,0.39198312,-0.015139308,-0.35638228,-0.61109847,-0.49548066,858.6447,849.7802,851.39197,842.52747,949.304
41:14.3,-0.15091684,-0.52865356,-0.38272303,0.05883057,0.31180853,-0.41364333,-0.35574266,0.38467643,1.4358485,0.19216713,0.24696402,1.5129865,0.59466755,0.13247022,-0.13385342,0.38029528,0.09459698,-0.24742027,-0.66591436,-0.49051833,846.1539,853.00366,851.79486,862.674,1097.9854
41:14.8,-0.13985397,-0.24736343,-0.40791193,-0.013831859,0.20093854,-0.28771815,-0.4797891,0.3435274,1.436635,0.19272014,0.07848603,1.489545,0.6326126,0.030441431,-0.12773311,0.32722613,0.10771469,-0.18506476,-0.69284236,-0.42763802,848.97437,852.1978,850.989,821.1722,624.94507
41:15.3,-0.029434253,-0.21472675,-0.30609655,-0.09585021,0.19547385,-0.28230518,-0.5079659,0.33837253,1.4250703,0.06763642,0.13834602,1.4805112,0.5364417,-0.23756073,-0.33882728,0.20611033,0.1115728,-0.21677448,-0.64896,-0.3357211,865.09155,855.82416,851.39197,863.47986,839.707
41:15.8,-0.089601696,-0.27101618,-0.26903832,-0.18017073,0.1868617,-0.397264,-0.557936,0.14796852,1.2032166,-0.04357719,-0.04044714,1.1990082,0.47449443,-0.272427,-0.48042744,0.21205886,-0.010166345,-0.2323993,-0.70238906,-0.46377665,845.34796,848.1685,850.18317,836.08057,635.42126
41:16.3,-0.047739346,-0.48447415,-0.361771,-0.15989798,0.44144657,-0.53744656,-0.6368929,0.37462676,1.276825,-0.058720235,-0.14308038,1.2402296,0.44583303,-0.30597636,-0.48395866,0.23049992,-0.050769746,-0.21659634,-0.69504744,-0.5095106,844.5421,856.2271,857.4359,864.2857,1071.392
41:16.9,-0.1222738,-0.5405246,-0.54663086,-0.04138171,0.50572187,-0.14106084,-0.67928225,0.4366781,1.2666706,0.044131372,-0.10104786,1.2993954,0.45600387,-0.29946154,-0.45837575,0.17102481,-0.12315014,-0.2509465,-0.7600754,-0.62077314,833.663,849.3773,850.58606,867.50916,1066.9597
41:17.4,-0.1399104,-0.6103212,-0.6696983,-0.090787314,0.5473215,-0.120619744,-0.68372434,0.4743992,1.2468991,0.032934174,-0.16726537,1.5228624,0.46427256,-0.28452507,-0.45829016,0.11626603,-0.097600564,-0.29897907,-0.7000954,-0.5557418,852.1978,852.1978,854.21246,880,895.7143
41:17.9,0.16880135,-0.39166227,-0.57134944,0.1487642,0.2647802,-0.13360322,-0.58956736,0.23500814,1.0813661,-0.015509001,-0.12924273,1.4892973,0.5389631,-0.37208223,-0.560929,0.17626366,-0.031133698,-0.23757899,-0.7587786,-0.52981454,859.45056,863.0769,839.707,832.4542,692.23444
41:18.4,0.28084004,0.091376,-0.15576428,0.19108209,0.23802602,-0.4969047,-0.25876805,0.08262902,1.0712018,-0.026069859,-0.029922878,1.4897839,0.55139005,-0.36827013,-0.50574577,0.20145719,-0.04051234,-0.1935404,-0.82808524,-0.48811555,848.5714,844.1392,854.61536,813.91943,616.4835
41:18.9,0.29246822,0.21962288,0.07844067,0.1833113,0.16566905,-0.58070725,-0.19592933,0.20953241,0.9751261,0.06054292,0.14525624,1.3609279,0.58889854,-0.3967016,-0.47762918,0.21280715,-0.083689734,-0.20464127,-0.8324409,-0.5123235,836.4835,846.9597,854.21246,807.47253,743.8095
41:19.4,0.17971058,0.2242583,0.2684113,0.052216016,0.274796,-0.52820307,-0.14605516,0.31430548,0.91679895,0.1117727,0.22879244,1.304759,0.54892147,-0.40504256,-0.43967354,0.07884208,-0.040714666,-0.20033458,-0.7438674,-0.49296907,841.7216,859.85345,846.55676,862.27106,992.8205
41:19.9,-0.012702148,0.06427528,0.22583714,0.068524234,0.38829568,-0.43343794,-0.24725561,0.45656782,1.2113951,0.12253195,0.2413727,1.6428033,0.50909543,-0.43513718,-0.38396803,0.14880843,0.023393508,-0.16980502,-0.7482716,-0.534993,857.03296,863.47986,855.42126,852.6007,765.16486
41:20.4,-0.06037243,-0.21112148,0.06604251,0.12533614,0.43958437,-0.41115892,-0.30897227,0.4794104,1.2181365,0.33923736,0.23799597,1.6362499,0.44475007,-0.26019987,-0.35492525,0.18096791,0.053907994,-0.025694523,-0.69874626,-0.53486526,850.989,845.7509,859.0476,875.56775,1031.5018
41:21.0,-0.07071457,0.019249218,0.13514523,0.07911757,0.368181,-0.28907302,-0.42258433,0.3753106,1.2171743,0.39572674,0.111882,1.6347374,0.4024661,-0.2088882,-0.3593149,0.25903478,0.01565166,0.03912395,-0.75014216,-0.494294,842.9304,849.3773,849.3773,806.6667,695.4579
41:21.5,-0.004246377,0.017913027,0.2079112,-0.08301962,0.185347,-0.17913069,-0.46602634,0.13438049,0.98983043,0.40227196,0.08172806,1.3566967,0.43563536,-0.20322607,-0.47169676,0.28646153,-0.02961803,0.0983101,-0.7625809,-0.47026604,863.0769,856.63007,846.9597,837.28937,636.63007
41:22.0,0.025527135,0.026706308,0.23630951,-0.20379327,0.15683645,-0.16221252,-0.5277835,0.029284483,0.88357913,-0.056350574,0.14354326,1.2624913,0.38103932,-0.32767785,-0.46216118,0.30130753,0.024822364,0.033967625,-0.805087,-0.4929873,829.6337,853.4066,850.18317,792.1612,627.76556
41:22.5,0.030382574,-0.16882841,0.15077244,-0.14078237,0.30297983,-0.31072915,-0.5002325,0.3579196,1.1711357,-0.087509334,0.10069421,1.4512854,0.37163112,-0.32978398,-0.46003866,0.35749665,-0.002729159,-0.08902084,-0.8110997,-0.5857995,851.79486,860.2564,844.5421,891.28204,1059.7069
41:23.0,-0.039799977,-0.22331032,0.07752371,-0.1557406,0.44708598,-0.48683167,-0.53621155,0.6120818,1.2549547,-0.21202832,0.09794684,1.536748,0.4991352,-0.32915854,-0.4353567,0.3307852,-0.022812128,-0.19243726,-0.76912344,-0.5994342,850.989,861.4652,850.58606,859.0476,852.1978
41:23.5,0.076513946,-0.16715182,0.007226302,-0.13531148,0.40871286,-0.514638,-0.5928619,0.6013406,1.2549547,-0.21645243,-0.2913455,1.5358194,0.52780586,-0.3011606,-0.45791808,0.34354943,-0.09219432,-0.23283188,-0.7209778,-0.5508422,855.42126,860.2564,848.97437,831.2454,664.0293
41:24.0,0.20251599,-0.11509072,-0.07247254,-0.21543723,0.36305973,-0.3692391,-0.6019129,0.52366,1.2586709,-0.23544072,-0.382589,1.5490884,0.540306,-0.26833075,-0.37314633,0.28942293,-0.07671264,-0.20450515,-0.7150679,-0.5331939,854.61536,853.4066,854.21246,864.2857,931.978
41:24.6,0.26447725,-0.11244265,0.02543738,-0.3029814,0.23817463,-0.23024985,-0.5708377,0.4081889,0.9085583,-0.21182792,-0.3405854,1.2222527,0.45551082,-0.24520464,-0.35840696,0.32679677,-0.06627691,-0.2295194,-0.70505935,-0.60566306,835.6777,844.1392,847.76556,807.47253,772.8205
41:25.1,0.16806482,-0.24595018,0.060989432,-0.37104514,0.19647612,-0.2420083,-0.5142632,0.41655675,0.88622224,-0.124760434,-0.31990725,1.2297226,0.406019,-0.21253347,-0.3498026,0.25516123,-0.04944686,-0.2374518,-0.73317635,-0.6255378,848.1685,858.24176,853.00366,860.2564,1012.5641
41:25.6,-0.051322058,-0.42074382,-0.114499934,-0.24962847,0.10294962,-0.23294963,-0.6014189,0.30036417,0.8070879,-0.10936968,-0.11391122,1.2071649,0.36535674,-0.15693356,-0.35931247,0.19249474,0.03829742,-0.34081078,-0.6682776,-0.5829675,868.71796,860.2564,848.1685,890.87915,1104.8352
41:26.1,-0.23324546,-0.49125648,-0.36833534,-0.26258457,0.2797605,-0.055278484,-0.37126136,0.18179294,1.3642924,0.20934135,-0.049694285,1.4095169,0.2876283,-0.13295132,-0.3872409,0.059715915,0.009853032,-0.43582404,-0.7533877,-0.5034834,861.06226,858.24176,850.58606,881.2088,981.53845
41:26.6,-0.2275236,-0.49042028,-0.6501345,-0.2587431,0.4008406,0.003707146,-0.2188889,0.16422157,1.4202224,0.20390761,-0.008714762,1.4695477,0.32750818,-0.10543653,-0.43399245,0.126729,-0.002380746,-0.37797225,-0.80336696,-0.48064524,840.9158,845.7509,856.63007,842.52747,745.0183
41:27.1,-0.08822479,-0.49879128,-0.7228617,-0.37015706,0.38624477,-0.037774477,-0.14576505,0.25142208,1.4659134,0.19974416,0.026589753,1.5234494,0.35664386,-0.17083506,-0.58527344,0.0828922,-0.11601146,-0.1830945,-0.8788035,-0.50143546,859.0476,855.42126,851.39197,819.15753,613.2601
41:27.6,0.16120248,-0.42806083,-0.5855451,-0.012652885,0.14583841,-0.34290093,-0.2622596,0.104713134,1.3831825,-0.012344904,-0.007585004,1.4210134,0.40331805,-0.15887849,-0.6467382,0.12786075,-0.044680614,-0.100406446,-0.73823,-0.56467026,852.6007,845.34796,850.18317,809.4872,692.6374
41:28.1,0.24154627,-0.18667978,-0.39744616,0.22506458,-0.01408316,-0.34118798,-0.48815474,0.11930118,1.3309284,-0.010175837,-0.013774009,1.403908,0.38486275,-0.2670447,-0.6089736,0.13419855,-0.039918985,-0.13505384,-0.7171153,-0.70280904,850.989,852.1978,848.97437,834.4689,892.0879
41:28.6,0.2982213,-0.017832546,-0.11990315,0.25976047,-0.017209446,-0.27786577,-0.3658852,0.005935723,1.0703737,0.022398345,0.027124194,1.1926844,0.35703543,-0.25969738,-0.59405273,0.23366737,0.05067903,-0.21848713,-0.759971,-0.5661366,846.55676,852.1978,849.7802,864.2857,1081.8682
41:29.2,0.21817458,0.001250287,-0.10916472,0.15932932,0.045602165,-0.29273885,-0.43604037,-0.03956593,0.9322971,0.012049372,-0.12538747,1.0350565,0.36244133,-0.26554134,-0.55289155,0.31032792,0.014352657,-0.26361346,-0.8267309,-0.5572108,839.304,849.3773,853.00366,811.50183,639.0476
41:29.7,0.27555114,-0.11278273,-0.18694486,0.07334787,0.21107054,-0.36113426,-0.39068213,-0.054163113,1.1401448,-0.1158295,-0.068182774,1.3239657,0.53040284,-0.23687613,-0.53536624,0.42039788,0.0604976,-0.2609638,-0.86704695,-0.44462684,838.0952,843.3333,856.63007,812.3077,618.49817
41:30.2,0.33717725,-0.44383746,-0.38553366,0.26964873,0.20707002,-0.39562356,-0.56755394,-0.047238786,1.1467037,-0.1809766,-0.21319926,1.3618692,0.6152227,-0.24079756,-0.5369251,0.46018705,0.008255213,-0.24288434,-0.89799356,-0.4935876,865.4945,852.1978,862.674,838.9011,791.75824
41:30.7,0.39925748,-0.3917121,-0.23103559,0.37946716,0.10697615,-0.3308738,-0.39600146,-0.05448373,1.1923438,-0.12890956,0.048184734,1.4122384,0.6348193,-0.31228876,-0.4574284,0.41015503,0.0885484,-0.21252453,-0.8010445,-0.45468912,860.65936,853.8095,848.1685,821.5751,624.1392
41:31.2,0.3008128,-0.45178118,-0.14239267,0.2616825,0.0337639,-0.32438302,-0.44840583,0.021834971,1.135398,-0.050642703,0.06129381,1.3874677,0.55581063,-0.31623656,-0.38236248,0.28743786,0.19089575,-0.26930285,-0.8418682,-0.47116402,851.79486,856.2271,850.58606,871.13556,1084.2858
41:31.7,0.075329214,-0.54084396,-0.2053554,-0.032798003,0.020901738,-0.377044,-0.50124955,0.01565063,1.2831463,0.21124007,0.07689164,1.3356173,0.49836326,-0.33482024,-0.34288856,0.24363713,0.1463522,-0.3514663,-0.8802854,-0.4099626,850.18317,859.45056,840.9158,870.32965,991.6117
41:32.2,-0.012073795,-0.65808207,-0.08275227,-0.16280167,0.21520019,-0.2868556,-0.6170946,0.14513057,1.3044511,0.22411153,0.06465781,1.2891244,0.53825915,-0.32224277,-0.3258134,0.26360467,0.11419527,-0.32609895,-0.97680396,-0.3924605,852.1978,846.1539,854.61536,853.00366,756.7033
41:32.7,0.06285414,-0.41366223,0.16962112,0.046060346,0.28642112,-0.12444877,-0.54722774,0.39141703,1.341798,0.22881155,0.004402914,1.3224195,0.5267237,-0.35829496,-0.38546336,0.3454312,-0.016797258,-0.11974723,-0.8160905,-0.425764,837.28937,851.79486,848.5714,808.2784,608.8278
41:33.2,0.29240754,-0.30936995,0.22955221,0.2294058,0.30627403,-0.15968344,-0.52266634,0.4934176,1.317615,0.22881155,0.001625804,1.2872778,0.55436826,-0.3497849,-0.41721687,0.32623547,0.023269815,-0.01594537,-0.72664905,-0.52164054,838.9011,848.1685,855.42126,805.8608,649.92676
41:33.8,0.40828663,-0.2603051,0.16015841,0.32465416,0.42594954,-0.23796457,-0.46982238,0.55867004,1.237912,0.001829653,-0.023765,1.2937127,0.44088084,-0.33956832,-0.45886454,0.3176601,0.03832573,0.006705723,-0.6947689,-0.711267,849.3773,847.3626,854.61536,826.0073,823.5897
41:34.3,0.4113269,-0.3689074,-0.11481262,0.31191257,0.44239715,-0.4586915,-0.4718719,0.41039586,1.3451587,0.000231,-0.017138384,1.2657087,0.35626543,-0.23089314,-0.461924,0.20998879,0.036475856,-0.13674645,-0.8038643,-0.7037822,855.0183,856.63007,857.4359,869.12085,1016.99634
41:34.8,0.34566975,-0.37912804,-0.24143212,0.2779791,0.5658015,-0.42027876,-0.44094,0.38054842,1.3621206,-0.09565975,-0.062360685,1.2951419,0.35923803,-0.15271707,-0.38102713,0.19041844,0.013436748,-0.34468266,-0.9601795,-0.7254181,846.1539,852.6007,851.39197,885.2381,1094.359
20:46.1,-0.007176638,0.7116859,0.2434998,0.36394206,-0.062083833,0.30698043,0.035751015,0.2531487,0.6707947,0.15194304,0.14738144,0.89011616,0.5514725,0.041571613,0.29790074,0.7285427,0.32807907,-0.19825223,0.17565347,0.8265697,760.32965,863.8828,850.58606,835.2747,519.3773
20:46.6,-0.07195272,0.72557,0.29063585,0.24434714,-0.20085634,0.28956118,-0.0710363,0.1649885,0.6801866,0.16528718,0.1344426,0.73705286,0.53474385,0.041768547,0.32058182,0.6225237,0.40662205,-0.18931568,0.070515156,0.8178782,861.06226,856.2271,843.3333,857.4359,1073.4066
20:47.1,-0.10033044,0.77727395,0.39815634,0.22678141,-0.17130384,0.3515595,-0.14680153,0.087665364,0.49495232,0.32164285,0.1261279,0.6005839,0.57150936,0.10375559,0.31335387,0.61394244,0.42050707,-0.2224498,-0.016702723,0.7421382,950.5128,857.4359,848.5714,917.8755,1147.1428
20:47.6,-0.06062685,0.8736428,0.52764124,0.11854273,-0.021539934,0.46236706,0.03737892,0.06846709,0.5488449,0.3300067,0.21817604,0.4464506,0.5520943,0.031826627,0.18653259,0.6039878,0.37950513,-0.22141023,-0.005096308,0.63115716,787.326,854.21246,847.76556,831.2454,753.8828
20:48.1,-0.082674876,0.94938487,0.6411179,0.19240506,-0.087366164,0.46777144,0.162077,0.069463156,0.5723553,0.36558735,0.2799678,0.58241117,0.49875373,0.017849283,0.024356192,0.56352764,0.311166,-0.25905553,-0.06125592,0.43396923,765.16486,853.00366,842.9304,815.12823,619.304
20:48.7,-0.0269611,0.91803116,0.64589244,0.19367543,-0.06505548,0.3549922,0.19352171,0.025198067,0.6345842,0.3510342,0.2799678,0.58472085,0.5265788,-0.049820106,0.01469591,0.5387079,0.39015836,-0.31431118,-0.11357151,0.42628497,888.46155,863.8828,852.1978,872.3443,1210.403
20:49.2,1.4558654,1.539175,0.60781616,0.79238313,0.4019122,0.46824944,0.10922152,0.21607861,0.78852034,0.56535923,0.17394295,0.6047368,0.6167636,0.008034422,0.0412393,0.51862186,0.4281807,-0.3006083,-0.2002226,0.4361821,942.0513,859.0476,850.18317,898.5348,1036.337
20:49.7,1.6851662,1.7416092,0.7489417,0.9709264,0.6342809,0.63335675,0.19646643,0.32316217,0.8039487,0.57599354,0.15881193,0.59049046,0.63965905,0.049005054,0.044274136,0.5945215,0.4768009,-0.30882102,-0.19518748,0.46638036,786.52014,856.63007,845.7509,818.3516,465.3846
20:50.2,1.6878587,1.73607,0.70208126,0.9749674,0.6695879,0.66239464,0.15426496,0.34973654,0.8243624,0.55361974,0.1454966,0.4781214,0.5977799,0.061095823,-0.010399825,0.48182496,0.38653967,-0.28359732,-0.19284807,0.37833992,950.10986,857.4359,849.3773,919.4872,1242.6373
