Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26
26:56.1,0.75364995,0.91547185,0.71741915,0.56544966,0.63247764,0.35258406,0.3111244,0.5512506,1.1909872,0.47754288,0.48293376,1.4182168,0.42721322,0.1920313,0.25541013,0.41963547,-0.043672673,-0.005170583,0.06758958,-0.005708375,815.9341,862.27106,857.03296,813.1135,896.52014
26:56.6,1.2425789,0.8274278,0.64480984,1.1082162,0.868261,0.4115979,0.30878022,0.81751496,1.1860615,0.484197,0.3704123,1.4224114,0.17456464,0.12024594,0.27289265,0.39317486,-0.07312747,-0.001087553,0.13296965,0.02522125,862.27106,846.9597,851.39197,860.2564,961.79486
26:57.1,1.6278517,0.9519419,0.6419412,1.6175847,1.175724,0.43299946,0.28960443,1.1631674,0.9108251,0.4898154,0.35730588,1.1780753,0.25692356,0.10386924,0.25398833,0.42497897,0.044417806,-0.025400536,0.13694878,0.09252133,852.1978,848.5714,841.31866,851.39197,846.55676
26:57.6,1.6036611,0.9103241,0.651946,1.6020752,1.147329,0.43295082,0.19336276,1.1113248,1.0235131,0.49540263,0.3588259,1.094584,0.26755255,0.07045313,0.107505314,0.3443585,0.08696097,-0.02828879,0.04950629,0.08828942,852.6007,854.61536,840.9158,838.49817,749.45056
26:58.2,1.2900039,0.7995354,0.5996078,1.3031554,0.83512425,0.44714132,0.23903713,0.7650075,1.0460601,0.45183197,0.34017667,1.0532788,0.3989867,0.1074273,0.16631353,0.32490113,0.21318237,0.0267238,0.045617126,0.1825883,841.31866,847.3626,840.9158,835.6777,861.06226
26:58.7,0.02986593,0.676398,0.616515,-0.21192326,0.10752991,0.3849484,0.2356166,-0.017545545,1.0397347,0.46349755,0.3138801,1.0243227,0.41559085,0.16531081,0.16304061,0.26039562,0.21601595,0.032274164,0.1374779,0.17776716,836.4835,857.8388,840.9158,831.2454,777.6557
26:59.2,0.1866929,0.8871777,0.73958504,-0.4912865,-0.03600555,0.33979484,0.30434406,-0.14915432,0.96009237,0.5868537,0.54930925,1.024204,0.45156562,0.20532382,0.15216696,0.31622866,0.23184624,-0.04559287,0.16456905,0.18648237,832.0513,864.2857,843.73627,829.2308,935.6044
26:59.7,1.0889677,1.1482723,1.0023333,1.011244,0.8232888,0.45761594,0.46610633,0.72603315,1.0182685,0.70489717,0.6108868,0.93130094,0.3858503,0.27024361,0.16387016,0.39015746,0.11363305,-0.20807199,0.08640816,0.054400776,857.4359,853.8095,843.73627,843.73627,734.94507
27:00.2,1.3787491,1.1508076,0.96544015,1.3555392,1.1526499,0.46201423,0.5048356,1.0519446,1.0573162,0.7119518,0.61249644,0.91696936,0.3046618,0.22057678,0.18327595,0.42598963,0.19330809,-0.23483774,0.018733993,0.053545315,836.4835,846.55676,844.94507,830.84247,840.9158
27:00.7,1.4079288,1.0473908,0.8691992,1.4041028,1.1766181,0.38007644,0.48653045,1.0937948,1.0557401,0.71305865,0.60537016,1.0165775,0.31135523,0.1887429,0.12451995,0.4153227,0.26157787,-0.15169653,-0.015996765,0.08608803,844.1392,839.707,853.8095,834.4689,761.13556
27:01.3,1.1893097,0.8889508,0.7037304,1.1884985,0.97196376,0.2241103,0.4118199,0.9096305,1.1289041,0.5713635,0.58435804,1.2340152,0.40865204,0.12607841,0.04655479,0.39302027,0.33661303,-0.10836099,-0.025303608,0.16511013,859.85345,844.5421,844.5421,856.2271,913.44324
27:01.8,0.7006644,0.894796,0.77099246,0.6031349,0.54841757,0.31414557,0.32316265,0.70193136,1.0919852,0.5317232,0.5817585,1.3503335,0.45637286,0.10474361,-0.021939754,0.43635708,0.29020864,-0.10565526,-0.039628897,0.13609296,852.6007,855.0183,840.9158,854.21246,965.82416
27:02.3,0.5887568,0.9268674,0.83441216,0.50406235,0.5107034,0.38444862,0.34251425,0.70997185,1.0986419,0.5317232,0.6207661,1.4451768,0.46920723,0.11950757,0.04372139,0.51331466,0.25739548,-0.12856682,-0.001429007,0.14189924,847.3626,836.4835,848.1685,841.31866,792.5641
27:02.8,0.4990718,0.78076303,0.673004,0.55000067,0.5353868,0.30320972,0.24057974,0.6883442,1.2603129,0.4050748,0.39099136,1.444129,0.46924335,0.13186833,0.03579266,0.5650601,0.19206277,-0.09179441,0.10513978,0.07030213,832.0513,854.61536,845.34796,836.8865,750.65936
27:03.3,0.45603782,0.7522924,0.6626115,0.5041989,0.4286062,0.17044447,0.23749763,0.4255272,1.2643822,0.3632495,0.39099136,1.4207176,0.47539163,0.09251433,0.08802228,0.5614809,0.14072524,-0.120436415,0.10724014,0.078047834,850.58606,850.58606,840.9158,852.1978,878.3883
27:03.8,0.85084534,0.57414657,0.5856001,0.84896505,0.7402285,-0.053922508,0.07643914,0.6458491,1.3000267,0.39636254,0.18547036,1.2293012,0.44858953,0.12001829,0.005121642,0.468513,0.17664354,-0.15806358,0.06631111,0.0698743,861.06226,866.7033,841.7216,861.8681,992.8205
27:04.4,0.86004627,0.2974095,0.4453712,0.84238017,0.7301984,-0.18086313,-0.10558401,0.65531284,1.119078,0.22522107,0.13569902,1.1424925,0.44962952,0.093821995,-0.073630005,0.4338883,0.42026395,-0.05963223,0.081236824,0.2577016,806.6667,851.39197,865.89746,799.81683,827.2161
27:04.9,1.245036,0.58108026,0.6831062,1.2481334,0.8370127,0.07252427,0.013823782,0.8358102,1.0801545,0.3376024,0.18526943,1.1466603,0.4715453,0.12116802,-0.10571691,0.4387194,0.50028783,0.025195176,0.16301699,0.2910164,855.82416,848.97437,841.31866,844.94507,943.2601
27:05.4,1.4211882,1.0566347,1.0297054,1.4149863,0.80592465,0.38614422,0.18997508,0.8103164,0.9355358,0.55695224,0.3595924,0.9150002,0.53075075,0.13503528,-0.00912387,0.5296945,0.4859088,0.073459655,0.20092902,0.27189767,860.65936,849.7802,854.61536,860.2564,943.663
27:05.9,1.4230504,1.0888197,1.0775903,1.4132315,0.7870673,0.41975412,0.25039133,0.79101664,0.9393316,0.5726437,0.38793504,0.96159816,0.52192795,0.11716392,0.06238421,0.5490257,0.3128523,0.00211398,0.13423936,0.15833472,852.6007,861.8681,835.6777,844.5421,798.60803
