Var1,Var2
2017-10-16,"16:53:36.400,0.53198814,1.3172836,0.4837167,0.48966172,0.32934,0.6066157,-0.18425082,0.094084226,1.14719,0.5768494,-0.31689665,0.97556984,0.3972284,0.34874907,-0.31233114,0.3254519,0.23217744,-0.117801696,-0.422743,0.24458554,915.4579,883.22345,853.00366,990.0,1152.381,-0.0673828125,0.10595703125,0.9832763671875,0.95703125,1.98883056640625,2.923431396484375,1,1.0,1.0,1.0,1.0,83.27"
2017-10-16,"16:53:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink"
2017-10-16,"16:53:36.903,0.3331657,1.417421,0.011724211,0.21311833,0.3123876,0.7618298,-0.22520831,0.08112416,1.1482214,0.5765245,-0.4086711,0.972633,0.38322422,0.30504686,-0.28848866,0.21167393,0.22104806,-0.07826599,-0.4921829,0.07653115,784.90845,823.1868,846.9597,687.8022,580.2198,-0.06011962890625,0.10833740234375,0.98577880859375,0.7177734375,2.093505859375,2.175750732421875,1,1.0,1.0,1.0,1.0,83.27"
2017-10-16,"16:53:37.406,0.07668495,1.3697401,-0.06610664,-0.011029649,0.21502146,0.7519558,-0.2868076,-0.07763694,1.1445415,0.45183796,-0.35214075,0.9078637,0.36568043,0.38988948,-0.40073833,0.15170434,0.18474366,-0.12612577,-0.5474527,-0.0064790044,801.4286,824.3956,843.73627,734.1392,782.49084,-0.06231689453125,0.10638427734375,0.98382568359375,0.216827392578125,2.67669677734375,2.205657958984375,1,1.0,1.0,1.0,1.0,83.27"
2017-10-16,"16:53:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink"
2017-10-16,"16:53:37.921,-0.08659287,1.1876892,-0.011586243,-0.25914258,0.22540575,0.72809327,-0.24798524,-0.009327591,1.0854028,0.40144718,-0.046883352,0.9917626,0.38131735,0.42117992,-0.45214862,0.13752665,0.07421441,-0.18877374,-0.6309373,-0.09819638,886.04395,882.8205,840.10986,901.75824,1070.1831,-0.0635986328125,0.11175537109375,0.98114013671875,0.59814453125,2.94586181640625,3.476715087890625,1,1.0,1.0,1.0,1.0,83.27"
2017-10-16,"16:53:38.433,-0.035664953,1.0343754,0.046878465,-0.20447777,0.31246865,0.6539347,-0.27605677,0.08286662,1.0739007,0.68197995,-0.0103469845,1.0025066,0.33786005,0.4512006,-0.4836518,0.12344531,-0.04170742,-0.2615802,-0.73668283,-0.14606763,909.41394,873.5531,842.1245,994.43225,1150.3663,-0.0557861328125,0.10845947265625,0.98345947265625,0.216827392578125,2.175750732421875,1.854248046875,1,1.0,1.0,1.0,1.0,83.27"
2017-10-16,"16:53:38.939,-0.1921261,0.9891656,0.1421927,-0.27506226,0.28042114,0.66160625,-0.3052978,0.0477419,1.1366483,0.672398,0.011959125,1.0165819,0.39059195,0.3880828,-0.4657807,0.21684878,-0.086936936,-0.27905434,-0.78281933,-0.12537451,884.83514,900.14655,841.31866,905.38464,869.5238,-0.05377197265625,0.10552978515625,0.984375,0.2093505859375,2.691650390625,1.846771240234375,1,1.0,1.0,1.0,1.0,83.27"
2017-10-16,"16:53:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink"
2017-10-16,"16:53:39.456,-0.2143041,1.4639707,0.27609465,-0.24319059,0.27741507,0.61585385,-0.32322323,0.11680574,1.1701448,0.665857,-0.013330221,1.109169,0.33465204,0.3910909,-0.3775754,0.36751097,-0.07012134,-0.22341865,-0.66736686,-0.1374558,817.1429,812.71063,838.9011,742.6007,552.8205,-0.05438232421875,0.10595703125,0.98480224609375,0.844879150390625,2.788848876953125,2.190704345703125,1,1.0,1.0,1.0,1.0,83.27"
2017-10-16,"16:53:39.964,-0.322598,1.602488,0.24099459,-0.40761334,0.20455201,0.65672475,-0.47366577,0.089956574,1.2698681,0.65969235,-0.085469455,0.9132265,0.3706899,0.35026735,-0.30716503,0.3860719,-0.07675608,-0.091705166,-0.50062025,-0.112163626,798.20514,801.02563,850.58606,701.50183,621.31866,-0.05010986328125,0.10931396484375,0.9794921875,0.441131591796875,2.130889892578125,2.213134765625,1,1.0,1.0,1.0,1.0,83.27"
2017-10-16,"16:53:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink"
2017-10-16,"16:53:40.481,-0.14427808,1.5885983,0.08410297,-0.5075356,0.20357254,0.56486154,-0.59307414,0.07142493,1.283433,0.4013325,-0.25087765,0.9984378,0.30916587,0.45225826,-0.30634513,0.35490733,-0.16782533,-0.041588668,-0.49997926,-0.10979735,843.3333,847.76556,851.79486,818.7546,944.0659,-0.05780029296875,0.11181640625,0.985107421875,0.31402587890625,2.743988037109375,2.355194091796875,1,1.0,1.0,1.0,1.0,83.27"
2017-10-16,"16:53:41.000,-0.19098885,1.440618,-0.234543,-0.503752,0.10540606,0.7526118,-0.7195565,0.12384964,1.246655,0.45316565,-0.3005359,0.9899416,0.319489,0.5567141,-0.33208627,0.30311295,-0.23553526,-0.086492285,-0.5434729,-0.012699062,906.5934,945.2747,842.52747,971.06226,1183.4066,-0.056640625,0.1041259765625,0.98699951171875,0.291595458984375,3.102874755859375,2.3028564453125,1,1.0,1.0,1.0,1.0,83.27"
